Find people;Company Name;First Name;Last Name;Full Name;Job Title;Location;Company Domain;LinkedIn Profile;Get a person's professional post comments;Created At - Comments;Text;Get a person's professional post reactions;Created At - Post - Reactions;2026 Mention
;ProProfs;Sameer;Bhatia;Sameer Bhatia;Founder & CEO;Santa Monica, California, United States;proprofs.com;https://www.linkedin.com/in/sameer-bhatia-8477262/;✅ 1 comment found;2026-04-23T22:14:04.494Z;As someone who started learning from the 'Gavin School of Thought' right in his college days - I love where you are going! Go crush it, brother! ;✅ 1 reaction found;2026-04-23T22:09:49.591Z;Yes
;Finexio;Ernest;Rolfson;Ernest Rolfson;Founder and CEO;Charlotte, North Carolina, United States;finexio.com;https://www.linkedin.com/in/ernestrolfson/;✅ 1 comment found;2026-04-23T17:52:59.550Z;My kids loved the popcorn as well!;✅ 1 reaction found;2026-04-24T00:23:42.801Z;Yes
;MedScout;Skylar;Talley;Skylar Talley;Co-Founder, CEO;Austin, Texas, United States;medscout.io;https://www.linkedin.com/in/skylar-talley-28558767/;✅ 1 comment found;2026-04-23T17:43:54.482Z;Michael - completely agree on the importance of the last mile. I'd love to go deeper on your perspective on what's working, what's not, and where you see the crux of the problem if you have time soon! Skylar@medscout.io ;✅ 1 reaction found;2026-04-27T16:47:42.449Z;Yes
;Ambition;Jared;Houghton;Jared Houghton;Co-founder + CEO;Chattanooga, Tennessee, United States;ambition.com;https://www.linkedin.com/in/jared-houghton-38894633/;✅ 1 comment found;2026-04-23T17:02:38.140Z;good to know I use my hands to talk;✅ 1 reaction found;2026-04-23T22:30:42.939Z;Yes
;Cloudsmith;Glenn;Weinstein;Glenn Weinstein;CEO;New York, New York, United States;cloudsmith.com;https://www.linkedin.com/in/glenn-weinstein-460a9/;✅ 1 comment found;2026-04-23T16:45:17.267Z;Love hosting you here in Belfast anytime. Thanks to you and all of TCV for the partnership, support, and shared belief.;✅ 1 reaction found;2026-04-27T21:08:46.004Z;Yes
;Sizebay;Janderson;Araujo;Janderson Araujo;Founder and co-CEO;Austin, Texas, United States;sizebay.com;https://www.linkedin.com/in/janderson-araujo-9885a815/;✅ 1 comment found;2026-04-23T15:22:12.681Z;Quando criamos a Sizebay, tínhamos como principal objetivo este, levar a experiência de compra de marcas preocupadas e direcionadas ao cliente a um próximo nível! Feliz de ver que continuamos com esta mesma pegada e impulsionadas por lojas como a Vörr Brasil que buscam sempre entergar o melhor para seus cliente! #TMJ #LetsDalhe! #Sizebay&VORR;✅ 1 reaction found;2026-04-23T15:30:35.522Z;Yes
;A.Team;Jim;Spare;Jim Spare;Executive Advisor to the CEO;New York, New York, United States;a.team;https://www.linkedin.com/in/jim-spare-824123/;✅ 1 comment found;2026-04-23T15:03:14.737Z;Congrats JJ Schmuckler !!;✅ 1 reaction found;2026-04-28T02:36:43.698Z;Yes
;HiveWatch;Ryan;Schonfeld;Ryan Schonfeld;Co-Founder & CEO;El Segundo, California, United States;hivewatch.com;https://www.linkedin.com/in/ryan-schonfeld-70a65829/;✅ 1 comment found;2026-04-23T13:43:17.202Z;I say I’m a security guard. Rarely any follow up questions!;✅ 1 reaction found;2026-04-27T22:26:36.821Z;Yes
;DayOne Solutions;Robert;Bess;Dr Robert Bess;Chief Executive Officer (CEO);Las Vegas, Nevada, United States;dayonesolutions.io;https://www.linkedin.com/in/robebess/;✅ 1 comment found;2026-04-23T13:40:36.380Z;Read the full article here - https://tinyurl.com/2napcrz9;✅ 1 reaction found;2026-04-17T01:11:34.940Z;Yes
;Symph;Dave;Overton;Dave Overton;Founder and CEO;San Francisco Bay Area, United States;symph.co;https://www.linkedin.com/in/daveove/;✅ 1 comment found;2026-04-23T07:04:13.087Z;This is a great post and highlights the challenges and opportunities of this shift into AI data centers and energy. Thanks for reporting on this, and Borderlands AI is very interesting!;✅ 1 reaction found;2026-04-23T06:38:30.260Z;Yes
;Oversight;Terrence;McCrossan;Terrence McCrossan;CEO;Atlanta Metropolitan Area, United States;oversight.com;https://www.linkedin.com/in/terrence-mccrossan-5b9749/;✅ 1 comment found;2026-04-23T03:01:24.864Z;Full speed ahead!  It’s great have your leadership at Oversight!  ;✅ 1 reaction found;2026-04-27T00:21:46.638Z;Yes
;Bitwave;Patrick;White;Patrick White;CEO;United States, United States;bitwave.io;https://www.linkedin.com/in/patrick-white-4232b/;✅ 1 comment found;2026-04-23T01:57:05.340Z;This is going to be a great event! Looking forward to it!;✅ 1 reaction found;2026-04-26T22:48:12.244Z;Yes
;Aavenir;Jesal;Mehta;Jesal Mehta;Founder, and CEO;San Francisco Bay Area, United States;aavenir.com;https://www.linkedin.com/in/jesal-mehta-872977/;✅ 1 comment found;2026-04-23T01:06:07.455Z;This is Awesome!!! Congratulations Nehal D. ;✅ 1 reaction found;2026-04-27T11:58:27.329Z;Yes
;Lucidity;Nitin;Bhadauria;Nitin Bhadauria;Co-Founder;Livingston, New Jersey, United States;lucidity.cloud;https://www.linkedin.com/in/nitinbhadauria/;✅ 1 comment found;2026-04-22T23:26:19.129Z;Managed;✅ 1 reaction found;2026-04-28T01:15:19.853Z;Yes
;KDAN;Wei-Chung;Wang;Wei-Chung Wang;Co-founder and CMO;Irvine, California, United States;kdan.com;https://www.linkedin.com/in/wei-chung-wang-5026a33/;✅ 1 comment found;2026-04-22T22:16:38.145Z;Fun fact: I’m at the airport again and this time the min deposit required to order ahead is $25!!!;✅ 1 reaction found;2026-04-28T00:18:19.837Z;Yes
;Duda;Itai;Sadan;Itai Sadan;Co-Founder & CEO;Boulder, Colorado, United States;duda.co;https://www.linkedin.com/in/itai-sadan-b328201/;✅ 1 comment found;2026-04-22T21:24:40.254Z;Ilan Twig this week I had a problem with booking a flight, I loved how Ava the AI support agent was able to show me other relevant flight options inside the chat , where I was able to flip through choices in the chat and select the one that worked best for me. You guys are definitely doing a great job creating nice user experiences combining AI with UI interfaces that people are very much used to.;✅ 1 reaction found;2026-04-25T21:00:33.098Z;Yes
;ServicePower;Frank;Gelbart;Frank Gelbart;CEO;Washington DC-Baltimore Area;servicepower.com;https://www.linkedin.com/in/frank-gelbart-0ba88/;✅ 1 comment found;2026-04-22T20:16:07.270Z;Congrats Bridgette!  Sounds like an exciting opportunity for you. ;✅ 1 reaction found;2026-04-24T16:10:51.711Z;Yes
;Legion Intelligence;Jason;Schnitzer;Jason Schnitzer;Co-founder & CTO;San Francisco Bay Area, United States;hubs.ly;https://www.linkedin.com/in/jason-schnitzer-6b36011/;✅ 1 comment found;2026-04-22T19:19:01.935Z;Congratulations Erran! Looking forward to where you take the platform. ;✅ 1 reaction found;2026-04-24T20:59:53.986Z;Yes
;Trifecta Technologies;Douglas;Pelletier;Douglas Pelletier;President/CEO;Jupiter, Florida, United States;trifecta.com;https://www.linkedin.com/in/dwpelletier/;✅ 1 comment found;2026-04-22T18:56:28.387Z;"Congrats Matthew Rubel.  I live ""just around the corner"" and wish I had known sooner.  There are a few young people in the area that I would have asked to join me.";✅ 1 reaction found;2026-04-27T19:50:33.617Z;Yes
;VeloDB (Powered by Apache Doris);Ambrose;Niu;Ambrose Niu;Co-Founder;San Francisco Bay Area, United States;velodb.io;https://www.linkedin.com/in/ambrose1987/;✅ 1 comment found;2026-04-22T17:15:05.832Z;Congrats on the V1 launch! The framing around agent-speed data infrastructure really resonates;✅ 1 reaction found;2026-04-28T06:22:14.185Z;Yes
;ConvergeSol;Jignesh;Prajapati;Jignesh Prajapati;CEO;Princeton, New Jersey, United States;convergesolution.com;https://www.linkedin.com/in/jigneshprajapati/;✅ 1 comment found;2026-04-22T16:51:05.576Z;Congratulations Himanshu Bhatia MD, MBA, well deserverd !;✅ 1 reaction found;2026-04-27T19:07:02.369Z;Yes
;Fieldwire by Hilti;Puneet;Raj;Puneet Raj;CEO / General Manager;San Francisco, California, United States;fieldwire.com;https://www.linkedin.com/in/puneet-raj-7838b615/;✅ 1 comment found;2026-04-22T14:00:49.296Z;Antonia Elisa Soler Blasco Jess Miller ;✅ 1 reaction found;2026-04-28T04:06:46.819Z;Yes
;Certain;Peter;Micciche;Peter Micciche;CEO;San Francisco Bay Area, United States;certain.com;https://www.linkedin.com/in/petermicciche/;✅ 1 comment found;2026-04-22T03:56:52.064Z;Strong move Bence Gazdag. I can't wait to learn more. ;✅ 1 reaction found;2026-04-22T03:56:49.881Z;Yes
;Data Safeguard Inc.;Swarnam;Dash;Swarnam Dash;Product Manager & Co- Founder;San Jose, California, United States;datasafeguard.ai;https://www.linkedin.com/in/swarnam-dash-b1422052/;✅ 1 comment found;2026-04-22T02:56:29.945Z;Great post. This reinforces a key point I strongly believe in: privacy must sit at the top of the stack, not be retrofitted later. Organizations that treat privacy as foundational rather than reactive are the ones that will build sustainable and trustworthy AI systems.;✅ 1 reaction found;2026-04-24T13:55:58.168Z;Yes
;TetraScience;Patrick;Grady;Patrick Grady;CEO;United States, United States;tetrascience.com;https://www.linkedin.com/in/patrickwgrady/;✅ 1 comment found;2026-04-22T01:47:13.400Z;"Lily Lyman 

Amen";✅ 1 reaction found;2026-04-22T02:34:47.213Z;Yes
;Conative AI;Mike;Le;Mike Le;Founder;New York City Metropolitan Area, United States;conative.ai;https://www.linkedin.com/in/mikelecbi/;✅ 1 comment found;2026-04-21T21:22:46.319Z;Thanks so much Justin for having me on the podcast! It was a lot of fun, and I am excited about the future of AI inventory forecasting!;✅ 1 reaction found;2026-04-26T02:05:35.123Z;Yes
;BluB0X Security;Jesica;Trejo;Jesica Trejo;Co-Founder & Sales & Marketing;Greater Orlando, United States;blub0x.com;https://www.linkedin.com/in/jesica-trejo-02577233/;✅ 1 comment found;2026-04-21T19:49:20.895Z;There's still time to register to attend the webinar tomorrow! https://watch.getcontrast.io/register/blubox-security-how-ai-is-changing-the-cost-of-physical-security ;✅ 1 reaction found;2026-04-22T16:32:51.156Z;Yes
;Aurascape;Moinul;Khan;Moinul Khan;Co-Founder & CEO;Santa Clara, California, United States;aurascape.ai;https://www.linkedin.com/in/moinulkhan/;✅ 1 comment found;2026-04-21T19:43:21.420Z;Nick, congrats! Wish you all the best.;✅ 1 reaction found;2026-04-27T16:58:17.798Z;Yes
;Arbital Health;Brian;Overstreet;Brian M. Overstreet;Co-Founder, President & CEO;San Francisco Bay Area;arbitalhealth.com;https://www.linkedin.com/in/brianmoverstreet/;✅ 1 comment found;2026-04-21T15:49:28.782Z;100%!  It's a unique moment in time and Arbital Health is uniquely positioned to rise to the challenge!;✅ 1 reaction found;2026-04-24T18:43:11.170Z;Yes
;DataNova;Kinjal;Mehta;Kinjal Mehta;CEO;Charlotte, North Carolina, United States;godatanova.com;https://www.linkedin.com/in/kimehta/;✅ 1 comment found;2026-04-21T11:26:34.153Z;Very impressive;✅ 1 reaction found;2026-04-25T00:09:09.964Z;Yes
;AfterShip;Teddy;Chan;Teddy Chan;Software Engineer, CEO and Co-Founders;Austin, Texas, United States;aftership.com;https://www.linkedin.com/in/teddy-chan-30b5a43b/;✅ 1 comment found;2026-04-21T03:27:13.046Z;Congrats 🎉 Tommy Xiao ~ Thanks for building the culture with me in the early stage of AfterShip! ;✅ 1 reaction found;2026-04-01T14:17:38.259Z;Yes
;ConverSight;Gopinath;Jaganmohan;Gopinath Jaganmohan;Co-Founder and CTO;Carmel, Indiana, United States;conversight.ai;https://www.linkedin.com/in/gopinath-jaganmohan-29143525/;✅ 1 comment found;2026-04-21T00:17:09.457Z;Congratulations Sriram Raghavan;✅ 1 reaction found;2026-04-21T06:02:31.879Z;Yes
;TensorWave;Piotr;Tomasik;Piotr Tomasik;Co-Founder, President & COO;Las Vegas, Nevada, United States;tensorwave.com;https://www.linkedin.com/in/ptomasik/;✅ 1 comment found;2026-04-20T23:37:26.681Z;🌊 ;✅ 1 reaction found;2026-04-28T05:31:01.484Z;Yes
;Flybuy | Radius Networks;Dan;Estrada;Dan Estrada;Co-founder & Chief Strategy Officer;Washington, District of Columbia, United States;flybuy.com;https://www.linkedin.com/in/dan-estrada-24b07322/;✅ 1 comment found;2026-04-20T20:48:45.578Z;Congrats Farhan Shaikh!;✅ 1 reaction found;2026-04-28T00:28:57.505Z;Yes
;Ardor;Keith;L.;Keith L.;Founder & CEO;Miami, Florida, United States;ardortrip.com;https://www.linkedin.com/in/keith-l-53383b12/;✅ 1 comment found;2026-04-20T20:28:38.644Z;Florida - thank you ;✅ 1 reaction found;2026-03-06T18:24:24.571Z;Yes
;Torcue Digital;Labby;George;Labby George;Founder & Principal;Fontana, California, United States;torcue.com;https://www.linkedin.com/in/labbyg/;✅ 1 comment found;2026-04-20T18:27:13.844Z;Yep. Last week was chaos;✅ 1 reaction found;2026-04-20T15:37:56.713Z;Yes
;Kinetic North America;Richard;Nichols;Richard Nichols MBA;CEO: Kinetic North America & KxWelcome EMEA;Greater Orlando, United States;kineticsoftwareinc.com;https://www.linkedin.com/in/richardnichols/;✅ 1 comment found;2026-04-20T18:10:52.258Z;Look forward to seeing you there Tim!;✅ 1 reaction found;2026-04-28T07:53:00.154Z;Yes
;Nuvo;Sid;Malladi;Sid Malladi;Co-Founder/CEO;San Francisco, California, United States;nuvo.com;https://www.linkedin.com/in/sidmalladi/;✅ 1 comment found;2026-04-20T16:57:45.789Z;Welcome Steph! Excited to build together 💪;✅ 1 reaction found;2026-04-23T18:59:12.111Z;Yes
;CustomerInsights.AI;Abhay;Jajoo;Abhay Jajoo;Founder & Chief Executive Officer;Fountain Hills, Arizona, United States;customerinsights.ai;https://www.linkedin.com/in/abhayjajoo1/;✅ 1 comment found;2026-04-19T03:26:05.652Z;Congratulations ;✅ 1 reaction found;2026-04-27T22:35:52.844Z;Yes
;AppTweak;Nicolas;Beraudo;Nicolas Beraudo;Co-CEO;San Francisco Bay Area, United States;apptweak.com;https://www.linkedin.com/in/nicolasberaudo/;✅ 1 comment found;2026-04-18T20:38:12.255Z;Commenting for reach;✅ 1 reaction found;2026-04-28T01:11:42.742Z;Yes
;DronaHQ;Jinen;Dedhia;Jinen Dedhia;Co-Founder;San Francisco, California, United States;dronahq.com;https://www.linkedin.com/in/jinen-dedhia-0993774/;✅ 1 comment found;2026-04-18T15:47:34.220Z;Great luck for your next chapter Shriya;✅ 1 reaction found;2026-04-22T19:39:36.582Z;Yes
;Incentivio;Sash;Dias;Sash Dias;Co Founder & Chief Operating Officer;Cambridge, Massachusetts, United States;incentivio.com;https://www.linkedin.com/in/sash-dias-157180b/;✅ 1 comment found;2026-04-18T10:12:42.588Z;Congrats on 50!!;✅ 1 reaction found;2026-04-18T10:13:18.001Z;Yes
;Infilect;Vijay;Gabale;Vijay Gabale;Co-founder & CPO: Strategy, Partnerships, Investment;United States, United States;infilect.com;https://www.linkedin.com/in/vijay-gabale-7aaa6512/;✅ 1 comment found;2026-04-18T09:56:37.709Z;Congratulations Dr. Hitesh Kakkar Very well deserved;✅ 1 reaction found;2026-04-27T12:41:31.380Z;Yes
;LotusFlare;Sam;G.;Sam M G.;CEO & Co-founder;Santa Clara, California, United States;lotusflare.com;https://www.linkedin.com/in/samgadodia/;✅ 1 comment found;2026-04-18T04:00:53.377Z;My deepest condolences Lalit Agrawal. ;✅ 1 reaction found;2026-04-27T10:12:47.945Z;Yes
;HappyFox;Shalin;Jain;Shalin Jain;CEO;Southlake, Texas, United States;happyfox.com;https://www.linkedin.com/in/shalin-jain-b838b21/;✅ 1 comment found;2026-04-17T18:46:38.691Z;Great group and great conversations! Alexander Theuma and David Umpleby great job putting this together. I loved my interaction with JB Daguené Nathan Latka Sara Archer Elizabeth McCalley.eth 🦋. ;✅ 1 reaction found;2026-04-17T15:01:12.754Z;Yes
;DRINKS;Zac;Brandenberg;Zac Brandenberg;Co-Founder & CEO;Austin, Texas, United States;drinks.com;https://www.linkedin.com/in/zac-brandenberg-ab3682143/;✅ 1 comment found;2026-04-17T17:09:04.315Z;Great piece on how Forbes thinks about bringing their unique perspective to new revenue models - https://pressgazette.co.uk/news/forbes-expands-into-retail-with-wine-club-launch/;✅ 1 reaction found;2026-04-22T19:35:55.917Z;Yes
;PlanHub;Ro;Bhatia;Ro Bhatia;CEO | Board Member;San Francisco, California, United States;planhub.com;https://www.linkedin.com/in/ro-bhatia/;✅ 1 comment found;2026-04-17T15:26:28.954Z;"Welcome Dave! 
Let’s chop wood carry water";✅ 1 reaction found;2026-04-24T21:57:37.910Z;Yes
;Planisware;Antoine;Villata;Antoine Villata;CEO at Planisware North America;San Francisco, California, United States;planisware.com;https://www.linkedin.com/in/antoine-villata-3b9350/;✅ 1 comment found;2026-04-17T15:23:46.565Z;"Great angle Noel Sobelman congrats! 
In the age of AI, portfolio management is ultimately about making better, faster decisions at scale. Looking forward to the book release.";✅ 1 reaction found;2026-04-28T03:32:08.529Z;Yes
;VISTECH;Rick;Huebner;Rick Huebner;CEO;Hartford, Connecticut, United States;vistech.com;https://www.linkedin.com/in/rick-huebner-2377925/;✅ 1 comment found;2026-04-17T15:02:25.205Z;"I doubt it’s about rudeness—it’s about prompt content, not tone.

Verbose or overly polite prompts simply add more ambiguity and more tokens for the model to evaluate. Short, clear instructions reduce cognitive and computational load. That’s why they work.

Sam Altman has even noted that “please” and “thank you” cost millions a year because those tokens translate to real compute that needs power and creates negative environmental impact--cooling and emissions.

Nice & clear should get the same result as rude & clear.

Clarity helps. Verbosity hurts.";✅ 1 reaction found;2026-04-27T18:43:12.695Z;Yes
;Open iT;Eistein;Fosli;Eistein Fosli;Founder and CEO;Houston, Texas, United States;openit.com;https://www.linkedin.com/in/eistein-fosli-89a15a/;✅ 1 comment found;2026-04-17T01:50:38.356Z;Great to see this, JP. We’re glad Open iT could be part of your early journey—wishing you all the best in your next chapter.;✅ 1 reaction found;2026-04-14T17:02:11.411Z;Yes
;Vroozi;Shaz;Khan;Shaz Khan;Chief Executive Officer/Co-Founder;Los Angeles County, California, United States;vroozi.com;https://www.linkedin.com/in/shaz-khan-9a818a2/;✅ 1 comment found;2026-04-16T19:17:34.223Z;Congratulations Abhinav on this and many more great accomplishments ;✅ 1 reaction found;2026-04-27T23:08:57.177Z;Yes
;IntelAgree;David;Hull;David Hull;Founder and CEO;Tampa, Florida, United States;intelagree.com;https://www.linkedin.com/in/david-hull-96a4522/;✅ 1 comment found;2026-04-16T16:13:46.202Z;Congrats Van Santos !;✅ 1 reaction found;2026-04-20T18:21:14.665Z;Yes
;Club Caddie;Ian;Brigmann;Ian Brigmann;Co-Founder & CAIO;Lansing, Michigan, United States;clubcaddie.com;https://www.linkedin.com/in/ian-brigmann/;✅ 1 comment found;2026-04-16T12:05:37.291Z;There is no greater synergy than when cultures align 💪 ;✅ 1 reaction found;2026-04-27T12:53:13.163Z;Yes
;Shoplazza;Randin;Kinsbruner;Randin Kinsbruner;CEO US;Westlake Village, California, United States;hubs.ly;https://www.linkedin.com/in/randin-kinsbruner/;✅ 1 comment found;2026-04-16T02:59:47.353Z;If you need health care / medical scrubs please DM me.. www.barcodemade.com;✅ 1 reaction found;2026-04-24T13:29:32.193Z;Yes
;Dealpath;Mike;Sroka;Mike Sroka;CEO & Co-Founder;San Francisco, California, United States;dealpath.com;https://www.linkedin.com/in/mike-sroka-9958391/;✅ 1 comment found;2026-04-15T23:31:29.783Z;Congrats and well deserved! Go Ursula Sage!!;✅ 1 reaction found;2026-04-28T08:23:01.450Z;Yes
;Revv;Adi;Bathla;Adi Bathla;CEO and Co-Founder;New York, New York, United States;revvhq.com;https://www.linkedin.com/in/adibathla/;✅ 1 comment found;2026-04-15T22:56:34.412Z;Viraj - love the storytelling. This one hit home - the emergency room, the fog, the hiring lessons - all of it. Keep crushing 💪;✅ 1 reaction found;2026-04-27T16:48:21.382Z;Yes
;DSS Partners;Brandon;Garcia;Brandon Garcia;Founder/Partner;Greater Chicago Area, United States;dss-partners.com;https://www.linkedin.com/in/dssbrandongarcia/;✅ 1 comment found;2026-04-15T22:19:35.104Z;"Congratulations !
";✅ 1 reaction found;2026-04-21T23:11:41.576Z;Yes
;LSPedia;Riya;Cao;Riya Cao;CEO;Detroit Metropolitan Area, United States;lspedia.com;https://www.linkedin.com/in/riyacao/;✅ 1 comment found;2026-04-15T21:53:08.865Z;Congrats! and major respect for your daily drive to keep getting better.;✅ 1 reaction found;2026-04-15T21:59:19.287Z;Yes
;Altana;Marissa;Cole;Marissa Cole;Execuitve Business Partner, CEO;New York, New York, United States;altana.ai;https://www.linkedin.com/in/marissa-cole-32081260/;✅ 1 comment found;2026-04-15T16:39:20.542Z;Hi Sarah - this is incredibly helpful, thank you for sharing! I'm currently in process with a few COS opportunities. If you have the time, it would be great to connect. I'd welcome any introductions to make or postings you may be able to share.;✅ 1 reaction found;2026-04-24T14:36:47.746Z;Yes
;LogicGate;Matt;Kunkel;Matt Kunkel;CEO;Greater Chicago Area, United States;logicgate.com;https://www.linkedin.com/in/matt-kunkel-91056143/;✅ 1 comment found;2026-04-15T15:19:12.173Z;This will fundamentally change how GRC programs are built, optimized and deployed! An amazing advancement for the GRC community! ;✅ 1 reaction found;2026-04-25T13:08:20.985Z;Yes
;B-Stock;Howard;R.;Howard R.;Chairman of the Board & Founder;Menlo Park, California, United States;bstock.com;https://www.linkedin.com/in/howardrosenberg/;✅ 1 comment found;2026-04-15T14:27:45.665Z;Congrats Giorgio!  Best of luck with the new venture!;✅ 1 reaction found;2026-04-23T15:56:47.195Z;Yes
;Lystloc;Bharath;Annamalai;Bharath Annamalai;CEO and Founder;Parlin, New Jersey, United States;lystloc.com;https://www.linkedin.com/in/cabharath/;✅ 1 comment found;2026-04-14T05:10:11.979Z;Mohan Raghu I don't have a reference currently. But refer  Lystloc for your field team management 360°.;✅ 1 reaction found;2026-04-27T13:01:06.569Z;Yes
;Residex;Chris;Poelma;Chris Poelma;CEO, Board Director;Denver, Colorado, United States;residex.ai;https://www.linkedin.com/in/chris-poelma-558a962/;✅ 1 comment found;2026-04-13T20:58:33.926Z;Stop by and meet our team at TALA.  Don't forget to ask for a Demo of Thea's latest, AI skills.;✅ 1 reaction found;2026-04-23T00:41:43.323Z;Yes
;enqos;Riccardo;Soff;Riccardo Soff;Co-Founder & COO - Sales & Operations;Kirkland, Washington, United States;enqos.com;https://www.linkedin.com/in/riccardosoff/;✅ 1 comment found;2026-04-13T19:20:15.607Z;Congratulations! 🎉;✅ 1 reaction found;2026-04-22T02:50:49.409Z;Yes
;Telliant Systems;Seth;Narayanan;Seth Narayanan;CEO and Founder;Alpharetta, Georgia, United States;telliant.com;https://www.linkedin.com/in/seth-narayanan-155ab01/;✅ 1 comment found;2026-04-13T17:51:37.347Z;Congrats Matt Golden !!;✅ 1 reaction found;2026-04-25T01:25:36.965Z;Yes
;Dealer Safeguard Solutions Is Now Informativ;Doug;Fusco;Doug Fusco;Founder DSGSS;McKinney, Texas, United States;informativ.com;https://www.linkedin.com/in/doug-fusco-4b1a3/;✅ 1 comment found;2026-04-13T16:34:24.542Z;👏 Well deserved, Trevor;✅ 1 reaction found;2026-04-11T00:34:03.488Z;Yes
;Zylo;Ben;Pippenger;Ben Pippenger;Co-Founder;Greater Indianapolis, United States;zylo.com;https://www.linkedin.com/in/benpipp/;✅ 1 comment found;2026-04-13T16:14:30.084Z;It’s only getting more challenging as agents begin to drive real impact. We are just at the tip of the iceberg of the changes we will see.;✅ 1 reaction found;2026-04-27T18:16:26.829Z;Yes
;BILT Incorporated;Nathan;Henderson;Nathan Henderson;Chairman & CEO;Keller, Texas, United States;biltapp.com;https://www.linkedin.com/in/nathan-henderson-12234b/;✅ 1 comment found;2026-04-13T14:32:33.503Z;Congratulations Tim. A great hire for a truly innovative business that will enrich the lives of so many in the coming years. Another great addition to the UHP team.;✅ 1 reaction found;2026-04-13T14:29:26.396Z;Yes
;TDS | Transcor Data Services, LLC;Terry;Cordell;Terry Cordell;CEO;Jacksonville, Florida, United States;tds.ai;https://www.linkedin.com/in/terry-cordell-14690a13/;✅ 1 comment found;2026-04-13T11:34:13.802Z;Welcome back!  ;✅ 1 reaction found;2026-04-27T11:33:44.852Z;Yes
;Ziosk;Shawn;Gentry;Shawn Gentry;VP of Enterprise Sales and co-Founder;Austin, Texas, United States;ziosk.com;https://www.linkedin.com/in/shawn-gentry-a668891/;✅ 1 comment found;2026-04-13T02:19:09.811Z;That's the way a sales retreat should start off! Curious shoot the low score and who took home the dough. ;✅ 1 reaction found;2026-04-24T17:04:08.343Z;Yes
;Reco;Ofer;Klein;Ofer Klein;Co-Founder & CEO;Greater Orlando, United States;reco.ai;https://www.linkedin.com/in/oferklein/;✅ 1 comment found;2026-04-12T20:18:50.041Z;Welcome John Pelaggi 🔥🚀;✅ 1 reaction found;2026-04-27T22:43:41.908Z;Yes
;Trika Technologies;Anubhav;Raina;Anubhav Raina;President & CEO;New York City Metropolitan Area, United States;trikatechnologies.com;https://www.linkedin.com/in/anubhav-raina-9b86a9/;✅ 1 comment found;2026-04-12T00:58:04.682Z;Congrats Sachin;✅ 1 reaction found;2026-04-28T00:05:11.056Z;Yes
;Construex;Ardaman;S.;Ardaman S.;Co-Founder, CTO;San Francisco Bay Area, United States;construex.com.mx;https://www.linkedin.com/in/singhardaman/;✅ 1 comment found;2026-04-10T20:29:47.901Z;That time is now. Organizations of all sizes can benefit from speed of deployment and risk reduction - the benefits outweigh the costs.;✅ 1 reaction found;2026-04-27T22:43:00.837Z;Yes
;OneSignal;George;Deglin;George Deglin;Co-founder & CEO;San Mateo, California, United States;onesignal.com;https://www.linkedin.com/in/gdeglin/;✅ 1 comment found;2026-04-10T17:52:18.757Z;Thanks so much for your help Jenna! It was great to have you. ;✅ 1 reaction found;2026-04-28T03:42:35.591Z;Yes
;Corevist;Andy;Martin;Andy Martin;CEO, Board of Directors;Raleigh-Durham-Chapel Hill Area, United States;corevist.com;https://www.linkedin.com/in/andy-martin-5a73b33/;✅ 1 comment found;2026-04-10T14:20:57.344Z;Great visual ... love the unicorn and rainbow one :)   Good post.;✅ 1 reaction found;2026-04-23T14:31:38.154Z;Yes
;KAISPE;Imran;M.;Imran M.;Founder, CEO & Solution Architect;Arlington Heights, Illinois, United States;kaispe.com;https://www.linkedin.com/in/imahmood/;✅ 1 comment found;2026-04-10T12:13:50.807Z;With due respect, this shows the lack of coordination among public departments and teams across Pakistan. This should not have happened in the first place. Hopefully, we will learn from this to avoid such incidents in future. ;✅ 1 reaction found;2026-04-28T00:01:10.978Z;Yes
;WebSenor;Shubham;Soni;Shubham Soni;Founder and CEO;New York, New York, United States;websenor.com;https://www.linkedin.com/in/shubham-soni-3ab43059/;✅ 1 comment found;2026-04-10T10:07:24.673Z;Congratulations sir. ;✅ 1 reaction found;2026-04-17T01:33:44.691Z;Yes
;ioVista;Mike;Patel;Mike Patel;Founder & CEO;Dallas-Fort Worth Metroplex;iovista.com;https://www.linkedin.com/in/mike-patel-8089962/;✅ 1 comment found;2026-04-10T00:44:08.280Z;Congratulations, Bhavik! Glad you are part of team ioVista ;✅ 1 reaction found;2026-04-28T00:57:48.063Z;Yes
;Sohosquared;David;Stevens;David Stevens;Co-Founder / Chief Operating Officer;Miami, Florida, United States;sohosquared.com;https://www.linkedin.com/in/dstevens2/;✅ 1 comment found;2026-04-09T01:22:34.553Z;This is a great read sir , having just done the same myself minus the language barrier I can relate!;✅ 1 reaction found;2026-04-23T15:24:36.024Z;Yes
;Veris;Aastha;Sharma;Aastha Sharma;Founder, CMO;Austin, Texas, United States;getveris.com;https://www.linkedin.com/in/as-veris/;✅ 1 comment found;2026-04-08T08:41:38.395Z;Wooohoooooo! Vishal Virani, the rockstar and his team shines again! ;✅ 1 reaction found;2026-04-26T02:19:27.051Z;Yes
